open-time,open,high,low,close,volume,trades
1603144800,1.0009,1.001,1.0004,1.0008,428625.0707661097,361
1603148400,1.0008,1.0008,1.0005,1.0006,92174.29096865,237
1603152000,1.0007,1.0008,1.0004,1.0005,197963.4749008601,271
1603155600,1.0005,1.0006,1.0004,1.0005,446774.7096969502,140
1603159200,1.0005,1.0006,1.0004,1.0005,156826.86679745,108
1603162800,1.0005,1.0005,1.0004,1.0004,251223.81667247,71
1603166400,1.0004,1.0006,1.0003,1.0005,418680.6525214201,266
1603170000,1.0005,1.0006,1.0004,1.0006,624737.24383556,567
1603173600,1.0006,1.0006,1.0003,1.0005,331378.0561518501,341
1603177200,1.0004,1.0007,1.0004,1.0005,908295.0776580909,530
1603180800,1.0005,1.0007,1.0003,1.0007,753815.5959765702,473
1603184400,1.0007,1.0008,1.0003,1.0007,509043.6033545701,424
1603188000,1.0007,1.001,1.0006,1.0009,441062.4733400095,299
1603191600,1.0009,1.0009,1.0004,1.0006,673394.28004957,505
1603195200,1.0006,1.0008,1.0004,1.0005,1212839.6326460713,596
1603198800,1.0005,1.0008,1.0003,1.0007,1228992.1276531415,949
1603202400,1.0008,1.0009,1.0006,1.0007,562105.4067023799,559
1603206000,1.0007,1.0009,1.0005,1.0008,1296909.926251161,552
1603209600,1.0008,1.0009,1.0005,1.0007,745663.4631930209,510
1603213200,1.0008,1.0011,1.0005,1.0009,580296.3524040298,684
1603216800,1.0008,1.0011,1.0006,1.0007,447269.7893291796,375
1603220400,1.0008,1.0008,1.0005,1.0005,223219.67650228,203
1603224000,1.0006,1.0008,1.0005,1.0006,416133.0742422699,288
1603227600,1.0007,1.0008,1.0005,1.0007,238013.3170092502,240
1603231200,1.0007,1.0011,1.0007,1.0009,311293.43218936,235
1603234800,1.001,1.0012,1.0008,1.001,302439.2496825099,322
1603238400,1.001,1.0012,1.0009,1.0011,178760.93707591,147
1603242000,1.0011,1.0012,1.0008,1.001,243214.2542363301,222
1603245600,1.001,1.001,1.0007,1.0009,703334.0602895796,486
1603249200,1.001,1.0012,1.0009,1.0012,960957.31507893,537
1603252800,1.0011,1.0014,1.001,1.001,318606.6786838202,500
1603256400,1.0011,1.0011,1.0007,1.0009,591935.6468396493,1045
1603260000,1.0009,1.001,1.0007,1.0009,888703.4799687797,815
1603263600,1.001,1.001,1.0005,1.0006,1080630.849102091,530
1603267200,1.0007,1.0008,1.0005,1.0007,426841.8197065396,641
1603270800,1.0007,1.0009,1.0005,1.0008,1000003.5283202812,484
1603274400,1.0008,1.001,1.0006,1.0009,389511.4723940502,467
1603278000,1.001,1.0011,1.0006,1.0011,926852.6130035,806
1603281600,1.0011,1.0016,1.0005,1.0012,1450980.4277445783,866
1603285200,1.0012,1.0014,1.0009,1.0013,1730310.4505831103,1104
1603288800,1.0013,1.0017,1.0011,1.0013,1520704.5913939993,1538
1603292400,1.0013,1.0014,1.0007,1.001,1420696.27340526,1495
1603296000,1.0011,1.0015,1.0007,1.0014,410068.0256263601,397
1603299600,1.0015,1.0016,1.0009,1.0015,974213.7295953413,1208
1603303200,1.0014,1.0015,1.0011,1.0014,478339.6289679,473
1603306800,1.0014,1.0014,1.0013,1.0014,367303.82130895,315
1603310400,1.0013,1.0016,1.0011,1.0016,772662.2805975502,537
1603314000,1.0016,1.0022,1.0015,1.0022,774812.3508886504,753
1603317600,1.0022,1.0024,1.0019,1.0023,1627893.0586138407,1532
1603321200,1.0022,1.0025,1.0018,1.0018,1045576.0359401628,1189
1603324800,1.0019,1.002,1.0018,1.0018,345896.2201262302,353
1603328400,1.0019,1.002,1.0016,1.0016,471752.8472242805,464
1603332000,1.0016,1.0018,1.0008,1.0009,956714.6319334208,713
1603335600,1.0009,1.0012,1.0006,1.0012,533559.1017867702,367
1603339200,1.0012,1.0012,1.0008,1.0008,346941.5408244803,292
1603342800,1.0009,1.0009,1.0005,1.0008,526055.6424149502,533
1603346400,1.0007,1.001,1.0007,1.001,434009.0508594995,624
1603350000,1.0009,1.001,1.0007,1.0008,687949.2998908805,682
1603353600,1.0008,1.0009,1.0006,1.0008,626494.6211107895,515
1603357200,1.0008,1.001,1.0006,1.0007,1310339.5028256697,1161
1603360800,1.0007,1.0009,1.0006,1.0008,768769.6964546693,605
1603364400,1.0008,1.0008,1.0005,1.0005,1117640.5792578517,477
1603368000,1.0006,1.0008,1.0005,1.0007,513138.3874219902,662
1603371600,1.0006,1.0012,1.0006,1.0009,1108484.5511270224,867
1603375200,1.001,1.0013,1.0008,1.001,845423.74201317,820
1603378800,1.0009,1.001,1.0006,1.0008,1793611.3032171507,1781
1603382400,1.0007,1.0013,1.0005,1.0013,870119.5374989401,1088
1603386000,1.0013,1.0016,1.0012,1.0013,824929.8923219604,758
1603389600,1.0013,1.0014,1.0011,1.0012,267050.2647361201,728
1603393200,1.0014,1.0014,1.0009,1.0013,528121.3651964101,524
1603396800,1.0012,1.0015,1.0012,1.0012,456244.5587261899,452
